2022/11/24 12:48:00.109 D Host                           Hosting starting 
2022/11/24 12:48:00.325 D KestrelServer                  Failed to locate the development https certificate at '(null)'. 
2022/11/24 12:48:00.331 W Kestrel                        Overriding address(es) 'http://localhost:5000'. Binding to endpoints defined in UseKestrel() instead. 
2022/11/24 12:48:00.372 I Lifetime                       Now listening on: http://0.0.0.0:6500 
2022/11/24 12:48:00.372 D Diagnostics                    Loaded hosting startup assembly IntegrationTest 
2022/11/24 12:48:00.373 I Lifetime                       Application started. Press Ctrl+C to shut down. 
2022/11/24 12:48:00.373 I Lifetime                       Hosting environment: Development 
2022/11/24 12:48:00.373 I Lifetime                       Content root path: D:\Proyectos\ADGS\CICD\strokkdroid_CR\IntegrationTest\IntegrationTest 
2022/11/24 12:48:00.373 D Host                           Hosting started 
2022/11/24 12:48:19.234 D Kestrel                        Connection id "0HMME6D7HQFIB" accepted. 
2022/11/24 12:48:19.234 D Kestrel                        Connection id "0HMME6D7HQFIB" started. 
2022/11/24 12:48:19.234 D Kestrel                        Connection id "0HMME6D7HQFIC" accepted. 
2022/11/24 12:48:19.234 D Kestrel                        Connection id "0HMME6D7HQFIC" started. 
2022/11/24 12:48:19.261 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/   
2022/11/24 12:48:19.264 D HostFilteringMiddleware        Wildcard detected, all requests with hosts will be allowed. 
2022/11/24 12:48:19.264 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 12:48:19.287 D StaticFileMiddleware           The request path  does not match the path filter 
2022/11/24 12:48:19.301 D DfaMatcher                     No candidates found for the request path '/' 
2022/11/24 12:48:19.301 D EndpointRoutingMiddleware      Request did not match any endpoints 
2022/11/24 12:48:19.311 D Kestrel                        Connection id "0HMME6D7HQFIB" completed keep alive response. 
2022/11/24 12:48:19.311 I Diagnostics                    Request finished in 51.1867ms 404  
2022/11/24 12:48:19.473 D Kestrel                        Connection id "0HMME6D7HQFID" accepted. 
2022/11/24 12:48:19.473 D Kestrel                        Connection id "0HMME6D7HQFID" started. 
